FREQ;GEO;UNIT;OBJECTIV\TIME_PERIOD,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 
A;CZ;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.002 ,0.002 ,0.003 ,0.003 ,0.008 ,0.009 ,0.008 ,0.007 ,0.002 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ02,0 ,0 ,0.001 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0.002 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.015 ,0.015 ,0.013 ,0.012 ,0.013 ,0.024 ,0.012 ,0.014 ,0.014 
A;ES;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;PC_GDP;OBJ02,0 ,0 ,0.005 ,0.005 ,0.006 ,0.004 ,0.003 ,0.003 ,0.002 ,0.002 ,0.004 ,0.003 ,0.003 ,0.003 ,0.003 ,0.001 ,0 ,0 
A;FR;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.006 ,0.005 ,0.006 ,0.005 ,0.006 ,0 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 
A;HU;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.01 ,0.011 ,0.007 ,0.008 ,0.009 ,0.006 ,0.006 ,0.009 ,0.006 ,0.022 ,0 ,0 ,0 ,0 
A;IE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.001 ,0 ,0 ,0 
A;IT;PC_GDP;OBJ02,0 ,0 ,0 ,0.001 ,0 ,0 ,0 ,0.002 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0.001 ,0 ,0 ,0 ,0 
A;LT;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.008 ,0.008 ,0.003 ,0.003 ,0.003 ,0.002 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LU;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;LV;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.011 ,0.017 ,0.012 ,0.009 ,0 ,0.004 ,0.003 ,0.001 ,0.002 ,0.003 ,0.005 ,0.003 ,0.004 ,0.005 
A;NL;PC_GDP;OBJ02,0 ,0 ,0.003 ,0.003 ,0.003 ,0.002 ,0.002 ,0.002 ,0.001 ,0.001 ,0.032 ,0.029 ,0.028 ,0.028 ,0.028 ,0.023 ,0 ,0 
A;PL;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0.005 ,0.004 ,0.004 ,0.004 ,0.001 ,0 ,0.007 ,0.006 ,0.006 ,0.006 ,0.006 ,0 ,0 ,0 
A;SE;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SK;PC_GDP;OBJ02,0 ,0 ,0 ,0 ,0 ,0.001 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;PC_GDP;OBJ02,0 ,0 ,0.031 ,0.027 ,0.025 ,0.011 ,0.009 ,0.008 ,0.005 ,0.004 ,0.004 ,0.003 ,0.003 ,0.003 ,0 ,0 ,0 ,0 
A;DK;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;MEUR_KP_PRE;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DK;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;PC_GDP;OBJ04,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BG;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6.281 ,5.826 ,4.118 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,2.849 ,2.771 ,2.889 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;MEUR_KP_PRE;OBJ05,0 ,0 ,0.997 ,0.756 ,0.555 ,0.355 ,0.181 ,0.089 ,0.03 ,0.025 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;ES;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0.201 ,0.535 ,0 ,0 ,0.269 ,0.315 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;MEUR_KP_PRE;OBJ05,0 ,0 ,0.997 ,0.756 ,31.439 ,9.027 ,4.558 ,7.891 ,5.92 ,4.16 ,0.573 ,0.425 ,0.126 ,0.049 ,0.064 ,0 ,0 ,0 
A;HU;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,26.717 ,5.414 ,0.904 ,0.888 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.296 ,0.108 ,0.126 ,0.049 ,0.064 ,0 ,0 ,0 
A;PL;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0.68 ,0.487 ,0.182 ,0.098 ,0.064 ,0.017 ,0.009 ,0.002 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;MEUR_KP_PRE;OBJ05,0 ,0 ,0 ,0 ,0.638 ,0 ,0.201 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;BG;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.015 ,0.013 ,0.01 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;CZ;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.002 ,0.002 ,0.002 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;DE;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;ES;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;HU;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.026 ,0.005 ,0.001 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;NL;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;PL;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;SI;PC_GDP;OBJ05,0 ,0 ,0 ,0 ,0.002 ,0 ,0.001 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;EU28;MEUR_KP_PRE;OBJ07,0 ,0 ,10.049 ,18.67 ,12.712 ,12.247 ,11.812 ,7.81 ,9.747 ,3.076 ,0 ,0 ,0.418 ,0.355 ,0 ,8.572 ,0 ,0 
A;FR;MEUR_KP_PRE;OBJ07,0 ,0 ,10.049 ,18.67 ,12.712 ,12.247 ,11.812 ,7.81 ,9.747 ,3.076 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
A;UK;MEUR_KP_PRE;OBJ07,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0.418 ,0.355 ,0 ,8.572 ,0 ,0 
A;EU28;PC_GDP;OBJ07,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
